,fund_house,scheme_type,scheme_category,scheme_code,scheme_name,date,nav
10678,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124252,Reliance Fixed Horizon Fund - XXIV - Series 20 - Dividend Payout Option,01-10-2013,10.01430
10679,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124251,Reliance Fixed Horizon Fund - XXIV - Series 20 - Growth Option,01-10-2013,10.01430
10680,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124708,Reliance Fixed Horizon Fund - XXIV - Series 22 - Direct Plan - Dividend Payout Option,15-10-2013,10.00440
10681,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124707,Reliance Fixed Horizon Fund - XXIV - Series 22 - Direct Plan - Growth Option,15-10-2013,10.00440
10682,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124709,Reliance Fixed Horizon Fund - XXIV - Series 22 - Dividend Payout Option,15-10-2013,10.00420
10683,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,124706,Reliance Fixed Horizon Fund - XXIV - Series 22 - Growth Option,15-10-2013,10.00420
10684,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,125153,Reliance Fixed Horizon Fund - XXIV - Series 24 - Direct Plan - Dividend Payout Option,13-11-2013,10.05010
10685,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,125152,Reliance Fixed Horizon Fund - XXIV - Series 24 - Direct Plan - Growth Option,13-11-2013,10.05010
10686,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,125151,Reliance Fixed Horizon Fund - XXIV - Series 24 - Dividend Payout Option,13-11-2013,10.04970
10687,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,125150,Reliance Fixed Horizon Fund - XXIV - Series 24 - Growth Option,13-11-2013,10.04970
10688,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,125195,Reliance Fixed Horizon Fund - XXIV - Series 25 - Direct Plan - Dividend Payout Option,13-11-2013,10.01260
10689,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,125194,Reliance Fixed Horizon Fund - XXIV - Series 25 - Dividend Payout Option,13-11-2013,10.01240
10690,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,125193,Reliance Fixed Horizon Fund - XXIV - Series 25 - Growth Option,13-11-2013,10.01240
10691,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,125192,Reliance Fixed Horizon Fund - XXIV - Series 25- Direct Plan - Growth Option,13-11-2013,10.01260
10692,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123054,Reliance Fixed Horizon Fund - XXIV - Series 3-Direct Plan - Dividend Payout Option,05-08-2013,10.03190
10693,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123051,Reliance Fixed Horizon Fund - XXIV - Series 3-Direct Plan - Growth Option,05-08-2013,10.03190
